title,key
Add an ARM CI for Hadoop,HADOOP-16358
TeraSort Job failing on S3 DirectoryStagingCommitter: destination path exists,HADOOP-16357
Distcp with webhdfs is not working with ProxyUserAuthenticationFilter or AuthenticationFilter,HADOOP-16356
ZookeeperMetadataStore: Use Zookeeper as S3Guard backend store,HADOOP-16355
Enable AuthFilter as default for WebHdfs,HADOOP-16354
Backport ABFS changes from trunk to branch-3.2,HADOOP-16353
Fix hugo warnings in hadoop-site,HADOOP-16352
"Change "":"" to ApplicationConstants.CLASS_PATH_SEPARATOR",HADOOP-16351
Ability to tell HDFS client not to request KMS Information from NameNode,HADOOP-16350
DynamoDBMetadataStore.getVersionMarkerItem() to log at info/warn on retry,HADOOP-16349
Remove redundant code when verify quota.,HADOOP-16348
MapReduce job tasks fails on S3A ssl3_get_server_certificate:certificate verify,HADOOP-16347
Stabilize S3A OpenSSL support,HADOOP-16346
Potential NPE when instantiating FairCallQueue metrics,HADOOP-16345
"Make DurationInfo  ""public unstable""",HADOOP-16344
Add option for a prefix to put in front of every s3guard table,HADOOP-16343
BUILDING.txt is unclear on where to run Eclipse script,HADOOP-16342
ShutDownHookManager: Regressed performance on Hook removals after HADOOP-15679,HADOOP-16341
ABFS driver continues to retry on IOException responses from REST operations,HADOOP-16340
minicluster dependencies pulls log4j.properties onto classpath,HADOOP-16339
Use exec in hadoop-runner base image instead of fork,HADOOP-16338
finish variable is unused in ZStandardCompressor,HADOOP-16336
"ERROR: namenode can only be executed by root while executing ""hdfs namenode -format""",HADOOP-16335
Fix yetus-wrapper not working when HADOOP_YETUS_VERSION >= 0.9.0,HADOOP-16334
Test Hang in S3A S3guard test MetadataStoreTestBase.testListChildren,HADOOP-16333
Remove S3A's depedency on http core,HADOOP-16332
Fix ASF License check in pom.xml,HADOOP-16331
Regression: TestStagingPartitionedJobCommit failing with empty etag list,HADOOP-16330
"""Wrong Billing mode"" test failure in ITestS3GuardToolDynamoDB",HADOOP-16329
ClassCastException in S3GuardTool.checkMetadataStoreUri,HADOOP-16328
s3a test docs to mention non-auth; or s3a tests to default to non-auth,HADOOP-16327
S3Guard: Remove LocalMetadataStore,HADOOP-16326
Add ability to run python test and build docker in docker in start-build-env.sh,HADOOP-16325
"S3A Delegation Token code to spell ""Marshalled"" as Marshaled",HADOOP-16324
https everywhere in Maven settings,HADOOP-16323
FileNotFoundException for checksum file from hadoop-maven-plugins,HADOOP-16322
ITestS3ASSL+TestOpenSSLSocketFactory failing with java.lang.UnsatisfiedLinkErrors,HADOOP-16321
Workaround bug with commons-configuration to be able to emit Ganglia metrics to multiple sink servers,HADOOP-16320
ITestS3AMiscOperations.testEmptyFileChecksums and ITestS3AMiscOperations.testNonEmptyFileChecksumsUnencrypted fail with default encryption enabled on bucket,HADOOP-16319
Upgrade JUnit from 4 to 5 in hadoop security,HADOOP-16318
ABFS: improve random read performance,HADOOP-16317
S3A delegation tests fail if you set fs.s3a.secret.key,HADOOP-16316
ABFS: transform full UPN for named user in AclStatus,HADOOP-16315
Make sure all end point URL is covered by the same AuthenticationFilter,HADOOP-16314
multipart/huge file upload tests to look at checksums returned,HADOOP-16313
Remove dumb-init from hadoop-runner image,HADOOP-16312
Hadoop build failure - natively on ARM (armv7) - oom_listener_main.c issues,HADOOP-16311
Log of a slow RPC request should contain the parameter of the request,HADOOP-16310
"Unable to build Hadoop natively on ARM, node.js is being downloaded for x86",HADOOP-16309
ITestS3AContractSeek teardown closes test FS before superclass can do its cleanup,HADOOP-16308
Intern User Name and Group Name in FileStatus,HADOOP-16307
AliyunOSS: Remove temporary files when upload small files to OSS,HADOOP-16306
hadoop-functions.sh Cannot set priority of daemon process misleads,HADOOP-16305
TestReadWriteDiskValidator fails intermittent,HADOOP-16304
TestDiskCheckerWithDiskIo testcases fails intermittent,HADOOP-16303
Fix typo on Hadoop Site Help dropdown menu,HADOOP-16302
ebugs automated bug checker is reporting exception issues,HADOOP-16300
[JDK 11] Build fails without specifying -Djavac.version=11,HADOOP-16299
Manage/Renew delegation tokens for externally scheduled jobs,HADOOP-16298
MiniKdc.main() throws a RuntimeException when the work directory does not exist,HADOOP-16297
MiniKdc() throws a RuntimeException when it fails to create its workDir,HADOOP-16296
"FileUtil.replaceFile() throws an IOException when it is interrupted, which leads to an unnecessary disk check",HADOOP-16295
Enable access to context by DistCp subclasses,HADOOP-16294
AuthenticationFilterInitializer doc has speudo instead of pseudo,HADOOP-16293
Refactor checkTrustAndSend in SaslDataTransferClient to make it cleaner  ,HADOOP-16292
HDFS Permissions Guide appears incorrect about getFileStatus()/getFileInfo(),HADOOP-16291
Enable RpcMetrics units to be configurable,HADOOP-16290
Allow extra jsvc startup option in hadoop_start_secure_daemon in hadoop-functions.sh,HADOOP-16289
Using an authenticated proxy server to access ADLS and ABFS storage,HADOOP-16288
KerberosAuthenticationHandler Trusted Proxy Support for Knox,HADOOP-16287
Add opentracing into KMS server/client,HADOOP-16286
Migrate opentracing utility code from Ozone to Hadoop Common,HADOOP-16285
KMS Cache Miss Storm,HADOOP-16284
Error in reading Kerberos principals from the Keytab file,HADOOP-16283
Avoid FileStream to improve performance,HADOOP-16282
"ABFS: Rename operation, GetFileStatus before rename operation and  throw exception on the driver side",HADOOP-16281
S3Guard: Retry failed read with backoff in Authoritative mode when file can be opened,HADOOP-16280
S3Guard: Implement time-based (TTL) expiry for entries (and tombstones),HADOOP-16279
"With S3A Filesystem, Long Running services End up Doing lot of GC and eventually die",HADOOP-16278
Expose getTokenKind method in FileSystem,HADOOP-16277
Fix jsvc startup command in hadoop-functions.sh due to jsvc >= 1.0.11 changed default current working directory,HADOOP-16276
Upgrade Mockito to the latest version,HADOOP-16275
transient failure of ITestS3GuardToolDynamoDB.testDestroyUnknownTable,HADOOP-16274
Update mssql-jdbc to 7.2.2.jre8,HADOOP-16273
Update HikariCP to 2.5.1,HADOOP-16272
Update okhttp to 3.14.1,HADOOP-16271
[JDK 11] Remove unintentional override of the version of Maven Dependency Plugin,HADOOP-16270
ABFS: add listFileStatus with StartFrom,HADOOP-16269
Allow custom wrapped exception to be thrown by server if RPC call queue is filled up,HADOOP-16268
Performance gain if you use replace() instead of replaceAll() for replacing patterns that do not use a regex ,HADOOP-16267
Add more fine-grained processing time metrics to the RPC layer,HADOOP-16266
Configuration#getTimeDuration is not consistent between default value and manual settings.,HADOOP-16265
[JDK11] Track failing Hadoop unit tests,HADOOP-16264
Update BUILDING.txt with macOS native build instructions,HADOOP-16263
Add some optional modules instructions in BUILDING.txt,HADOOP-16262
Suppress info logging in MetricsSystemImpl and MetricsConfig,HADOOP-16261
Allow Distcp to create a new tempTarget file per File,HADOOP-16260
Distcp to set S3 Storage Class,HADOOP-16259
Expose KMS CachingKeyProvider statistics,HADOOP-16257
HTTPFileSystem disallows users from configuring the connectionTimeout and readTimeout of HttpClient.,HADOOP-16256
"ChecksumFS.Make FileSystem.rename(path, path, options) doesn't rename checksum",HADOOP-16255
Add proxy address in IPC connection,HADOOP-16254
Update AssertJ to 3.12.2,HADOOP-16253
Use configurable dynamo table name prefix in S3Guard tests,HADOOP-16252
ABFS: add FSMainOperationsBaseTest,HADOOP-16251
Add a way to declare a toplevel path in a non-auth FS as auth,HADOOP-16250
Make CallerContext LimitedPrivate scope to Public,HADOOP-16249
MutableQuantiles leak memory under heavy load,HADOOP-16248
NPE in FsUrlConnection,HADOOP-16247
Unbounded thread pool maximum pool size in S3AFileSystem TransferManager,HADOOP-16246
Enabling SSL within LdapGroupsMapping can break system SSL configs,HADOOP-16245
Hadoop Support ISA-L Compress/Decompress,HADOOP-16244
Change Log Level to trace in NetUtils.java,HADOOP-16243
ABFS: add bufferpool to AbfsOutputStream,HADOOP-16242
S3AInputStream PositionReadable should perform ranged read on dedicated stream ,HADOOP-16241
start-build-env.sh can consume all disk space during image creation,HADOOP-16240
error in mapreduce,HADOOP-16239
Add the possbility to set SO_REUSEADDR in IPC Server Listener,HADOOP-16238
Fix new findbugs issues after update guava to 27.0-jre in hadoop-project trunk,HADOOP-16237
Update C code to run with c99 standard,HADOOP-16236
ABFS VersionedFileStatus to declare that it isEncrypted(),HADOOP-16235
Clarify FileSystem.isEncrypted(),HADOOP-16234
S3AFileStatus to declare that isEncrypted() is always true,HADOOP-16233
Fix errors in the checkstyle configration xmls,HADOOP-16232
Reduce KMS error logging severity from WARN to INFO,HADOOP-16231
Correct findbug ignores for unjustified issues during update to guava to 27.0-jre in hadoop-project,HADOOP-16230
wasb LocalSASKeyGeneratorImpl only supports HTTP connections,HADOOP-16229
Throwing OOM exception for ListStatus (v2) when using S3A with non S3-compatible service,HADOOP-16228
Upgrade checkstyle to 8.19,HADOOP-16227
new Path(String str) does not remove all the trailing slashes of str,HADOOP-16226
Fix links to the developer mailing lists in DownstreamDev.md,HADOOP-16225
remove misleading fs.s3a.delegation.tokens.enabled prompt,HADOOP-16223
Fix new deprecations after guava 27.0 update in trunk,HADOOP-16222
S3Guard: fail write that doesn't update metadata store,HADOOP-16221
Add findbugs ignores for unjustified issues during update to guava to 27.0-jre in hadoop-project,HADOOP-16220
[JDK8] Set minimum version of Hadoop 2 to JDK 8,HADOOP-16219
findbugs warning of null param to non-nullable method in Configuration with Guava update,HADOOP-16218
"spark use Path.getFileSystem(conf) to get FS to write data to hdfs, But Permission denied error occourd",HADOOP-16217
Cannot Delete Key with / in the key name,HADOOP-16216
Kerberos name implementation in Hadoop does not accept principals with more than two components,HADOOP-16214
Update guava to 27.0-jre in hadoop-project branch-3.1,HADOOP-16213
Update guava to 27.0-jre in hadoop-project branch-3.0,HADOOP-16212
Update guava to 27.0-jre in hadoop-project branch-3.2,HADOOP-16211
Update guava to 27.0-jre in hadoop-project trunk,HADOOP-16210
Create simple docker based pseudo-cluster for hdfs,HADOOP-16209
Do Not Log InterruptedException in Client,HADOOP-16208
Fix ITestDirectoryCommitMRJob.testMRJob,HADOOP-16207
Migrate from Log4j1 to Log4j2,HADOOP-16206
Backporting ABFS driver from trunk to branch 2.0,HADOOP-16205
ABFS tests to include terasort,HADOOP-16204
ITestS3AContractGetFileStatusV1List may have consistency issues,HADOOP-16203
"S3A openFile() operation to support explicit versionID, etag parameters",HADOOP-16202
S3AFileSystem#innerMkdirs builds needless lists,HADOOP-16201
Add regression test for CVE-2018-11767,HADOOP-16200
KMSLoadBlanceClientProvider does not select token correctly,HADOOP-16199
Upgrade Jackson-databind version to 2.9.8,HADOOP-16198
S3AUtils.translateException to map CredentialInitializationException to AccessDeniedException,HADOOP-16197
Path Parameterize Comparable,HADOOP-16196
S3A MarshalledCredentials.toString() doesn't print full date/time of expiry,HADOOP-16195
add extra S3A MPU test to see what happens if a file is created during the MPU,HADOOP-16193
"CallQueue backoff bug fixes: doesn't perform backoff when add() is used, and doesn't update backoff when refreshed",HADOOP-16192
AliyunOSS: improvements for copyFile/copyDirectory and logging,HADOOP-16191
S3A copyFile operation to include source versionID or etag in the copy request,HADOOP-16190
S3A copy/rename of large files to be parallelized as a multipart operation,HADOOP-16189
"s3a rename failed during copy, ""Unable to copy part"" + 200 error code",HADOOP-16188
ITestS3GuardToolDynamoDB test failures,HADOOP-16187
S3Guard: NPE in DynamoDBMetadataStore.lambda$listChildren,HADOOP-16186
S3Guard: Optimize performance of handling OOB operations in non-authoritative mode,HADOOP-16185
S3Guard: Handle OOB deletions and creation of a file which has a tombstone marker,HADOOP-16184
Use latest Yetus to support ozone specific build process,HADOOP-16183
"Update abfs storage back-end with ""close"" flag when application is done writing to a file ",HADOOP-16182
HadoopExecutors shutdown Cleanup,HADOOP-16181
LocalFileSystem throw Malformed input or input contains unmappable characters,HADOOP-16180
hadoop-common pom should not depend on kerb-simplekdc,HADOOP-16179
ServerSocketUtil#getPort is too smart,HADOOP-16178
regression: ITestS3AMiniYarnCluster failing on branch-3.2,HADOOP-16177
Add some tests about S3 timestamp tracking,HADOOP-16176
S3Guard to add DynamoDBLocal Support,HADOOP-16175
Disable wildfly logs to the console,HADOOP-16174
Apply some link checker to hadoop-site and fix dead links,HADOOP-16173
Update apache/hadoop:3 to 3.2.0 release,HADOOP-16172
"deploy hadoop3.1.2 and runtime raise a Error, i dont know why",HADOOP-16171
Configuration.getAllPropertiesByTag doesn't return correct values,HADOOP-16170
ABFS: Bug fix for getPathProperties,HADOOP-16169
mvn clean site is not compiling in trunk,HADOOP-16168
"""hadoop CLASSFILE"" prints error messages on Ubuntu 18",HADOOP-16167
TestRawLocalFileSystemContract fails with build Docker container running on Mac,HADOOP-16166
S3A connector - are multiple SSE-KMS keys supported within same bucket?,HADOOP-16165
S3aDelegationTokens to add accessor for tests to get at the token binding,HADOOP-16164
NPE in setup/teardown of ITestAbfsDelegationTokens,HADOOP-16163
Remove unused Job Summary Appender configurations from log4j.properties,HADOOP-16162
NetworkTopology#getWeightUsingNetworkLocation return unexpected result,HADOOP-16161
TestAdlFileSystemContractLive fails in branch-2.8,HADOOP-16160
Deadlock when using FsUrlStreamHandlerFactory,HADOOP-16159
DistCp to support checksum validation when copy blocks in parallel,HADOOP-16158
[Clean-up] Remove NULL check before instanceof in AzureNativeFileSystemStore,HADOOP-16157
[Clean-up] Remove NULL check before instanceof and fix checkstyle in InnerNodeImpl,HADOOP-16156
S3AInputStream read(bytes[]) to not retry on read failure: pass action up,HADOOP-16155
ITestS3A select tests fail if user kinited in,HADOOP-16154
Allow TeraGen to use schema-specific output committer,HADOOP-16153
Upgrade Eclipse Jetty version to 9.4.x,HADOOP-16152
pip install pylint fails in branch-2.8 and branch-2.9,HADOOP-16151
checksumFS doesn't wrap concat(): concatenated files don't have checksums,HADOOP-16150
hadoop-mapreduce-client-app build not converging due to transient dependencies,HADOOP-16149
Cleanup LineReader Unit Test,HADOOP-16148
Allow CopyListing sequence file keys and values to be more easily customized,HADOOP-16147
Make start-build-env.sh safe in case of misusage of DOCKER_INTERACTIVE_RUN,HADOOP-16146
Add Quota Preservation to DistCp,HADOOP-16145
Create a Hadoop RPC based KMS client,HADOOP-16144
Create a KeyManagerRpcServer for KMS,HADOOP-16143
Add protobuf and associated helper classes/interfaces for KMS,HADOOP-16142
Abstract transport layer implementation out of KMS,HADOOP-16141
hadoop fs expunge to add -immediate option to purge trash immediately,HADOOP-16140
NPE in ABFS Client Credential Auth,HADOOP-16139
hadoop fs mkdir / of nonexistent abfs container raises NPE,HADOOP-16138
hadoop version - fairscheduler-statedump.log (No such file or directory),HADOOP-16137
ABFS: Should only transform username to short name,HADOOP-16136
Update tests to use internal Whitebox instead of Mockito,HADOOP-16135
Add S3AWriteOpContext for write ops; pass in statistics and other settings,HADOOP-16134
S3A statistic collection underrecords bytes written in helper threads,HADOOP-16133
Support multipart download in S3AFileSystem,HADOOP-16132
Support reencrypt  in KMS Benchmark,HADOOP-16131
Support delegation token operations in KMS Benchmark,HADOOP-16130
Misc. bug fixes for KMS Benchmark,HADOOP-16129
Some S3A tests leak filesystem instances,HADOOP-16128
"In ipc.Client, put a new connection could happen after stop",HADOOP-16127
ipc.Client.stop() may sleep too long to wait for all connections,HADOOP-16126
Support multiple bind users in LdapGroupsMapping,HADOOP-16125
Extend documentation in testing.md about endpoint constants,HADOOP-16124
Re-login from keytab for multiple UGI will use the same and incorrect keytabPrincipal,HADOOP-16122
Cannot build in dev docker environment,HADOOP-16121
Lazily allocate KMS delegation tokens,HADOOP-16120
KMS on Hadoop RPC Engine,HADOOP-16119
S3Guard to support on-demand DDB tables,HADOOP-16118
Update AWS SDK to 1.11.563,HADOOP-16117
Fix Spelling Mistakes - DECOMISSIONED,HADOOP-16116
[JDK 11] TestHttpServer#testJersey fails,HADOOP-16115
NetUtils#canonicalizeHost gives different value for same host,HADOOP-16114
Your project apache/hadoop is using buggy third-party libraries [WARNING],HADOOP-16113
Delete the baseTrashPath's subDir leads to don't modify baseTrashPath,HADOOP-16112
FileSystem.closeAllForUGI closes() filesystem in Sync block,HADOOP-16111
~/hadoop-env doesn't support HADOOP_OPTIONAL_TOOLS,HADOOP-16110
Parquet reading S3AFileSystem causes EOF,HADOOP-16109
Tail Follow Interval Should Allow To Specify The Sleep Interval To Save Unnecessary RPC's ,HADOOP-16108
FilterFileSystem doesn't wrap all create() or new builder calls; may skip CRC logic,HADOOP-16107
hadoop-aws project javadoc does not compile,HADOOP-16106
WASB in secure mode does not set connectingUsingSAS,HADOOP-16105
Wasb tests to downgrade to skip when test a/c is namespace enabled,HADOOP-16104
Failure of ABFS test ITestAbfsIdentityTransformer,HADOOP-16103
FilterFileSystem does not implement getScheme,HADOOP-16102
Use lighter-weight alternatives to innerGetFileStatus where possible,HADOOP-16101
checksum errors observed while executing examples on big-endian system,HADOOP-16100
Fix handling of path with multiple trailing slash in SwiftNativeFileSystem,HADOOP-16099
Fix javadoc warnings in hadoop-aws,HADOOP-16098
Provide proper documentation for FairCallQueue,HADOOP-16097
HADOOP-15281/distcp -Xdirect needs to use commons-logging on 3.1,HADOOP-16096
Support impersonation for AuthenticationFilter,HADOOP-16095
AuthenticationFilter can trigger NullPointerException in KerberosName class,HADOOP-16094
Move DurationInfo from hadoop-aws to hadoop-common org.apache.hadoop.util,HADOOP-16093
